handover_alt_km,handover_vel_ms,rocket_dv_ms,burn_time_s,tw_equiv,apogee_km,max_g,max_q_kPa,tr1_pass,tr2_pass,tr3_pass,all_pass
25,600,1200,80,1.529051987767584,150.69907,2.529051987767584,8.417927393379037,False,True,True,False
25,600,1500,40,3.8226299694189603,150.55357000000004,4.82262996941896,8.417927393379037,False,True,True,False
25,600,1500,60,2.54841997961264,150.46807000000004,3.54841997961264,8.417927393379037,False,True,True,False
25,600,1500,80,1.9113149847094801,150.19684000000004,2.91131498470948,8.417927393379037,False,True,True,False
25,700,1000,40,2.54841997961264,150.73215000000008,3.54841997961264,9.820988959454228,False,True,True,False
25,700,1000,60,1.6989466530750934,150.81970000000013,2.6989466530750934,9.820988959454228,False,True,True,False
25,700,1000,80,1.27420998980632,150.42249,2.27420998980632,9.820988959454228,False,True,True,False
25,700,1200,40,3.058103975535168,150.01974000000007,4.058103975535168,9.820988959454228,False,True,True,False
25,700,1200,60,2.038735983690112,151.19182000000004,3.038735983690112,9.820988959454228,False,True,True,False
25,700,1200,80,1.529051987767584,151.63482000000002,2.529051987767584,9.820988959454228,False,True,True,False
25,700,1500,40,3.8226299694189603,150.84659000000005,4.82262996941896,9.820988959454228,False,True,True,False
25,700,1500,60,2.54841997961264,150.67249000000004,3.54841997961264,9.820988959454228,False,True,True,False
25,700,1500,80,1.9113149847094801,150.45190000000002,2.91131498470948,9.820988959454228,False,True,True,False
30,500,1000,40,2.54841997961264,150.30885000000018,3.54841997961264,7.014724001970301,False,True,True,False
30,500,1000,60,1.6989466530750934,150.96344000000008,2.6989466530750934,7.014724001970301,False,True,True,False
30,500,1000,80,1.27420998980632,150.93835000000007,2.27420998980632,7.014724001970301,False,True,True,False
30,500,1200,40,3.058103975535168,150.6618900000001,4.058103975535168,7.014724001970301,False,True,True,False
30,500,1200,60,2.038735983690112,151.26654000000005,3.038735983690112,7.014724001970301,False,True,True,False
30,500,1200,80,1.529051987767584,150.53990000000002,2.529051987767584,7.014724001970301,False,True,True,False
30,500,1500,40,3.8226299694189603,151.09820000000005,4.82262996941896,7.014724001970301,False,True,True,False
30,500,1500,60,2.54841997961264,150.80700000000002,3.54841997961264,7.014724001970301,False,True,True,False
30,500,1500,80,1.9113149847094801,150.21045,2.91131498470948,7.014724001970301,False,True,True,False
30,600,1000,40,2.54841997961264,150.5150900000001,3.54841997961264,8.417927393379037,False,True,True,False
30,600,1000,60,1.6989466530750934,150.03079000000008,2.6989466530750934,8.417927393379037,False,True,True,False
30,600,1000,80,1.27420998980632,151.21807000000004,2.27420998980632,8.417927393379037,False,True,True,False
30,600,1200,40,3.058103975535168,150.79539000000005,4.058103975535168,8.417927393379037,False,True,True,False
30,600,1200,60,2.038735983690112,150.53265000000005,3.038735983690112,8.417927393379037,False,True,True,False
30,600,1200,80,1.529051987767584,150.76995000000002,2.529051987767584,8.417927393379037,False,True,True,False
30,600,1500,40,3.8226299694189603,150.31305000000003,4.82262996941896,8.417927393379037,False,True,True,False
30,600,1500,60,2.54841997961264,151.68990000000005,3.54841997961264,8.417927393379037,False,True,True,False
30,600,1500,80,1.9113149847094801,151.14399000000006,2.91131498470948,8.417927393379037,False,True,True,False
30,700,1000,40,2.54841997961264,150.99225000000007,3.54841997961264,9.820988959454228,False,True,True,False
30,700,1000,60,1.6989466530750934,150.33424000000014,2.6989466530750934,9.820988959454228,False,True,True,False
30,700,1000,80,1.27420998980632,150.82280000000003,2.27420998980632,9.820988959454228,False,True,True,False
30,700,1200,40,3.058103975535168,150.55580000000003,4.058103975535168,9.820988959454228,False,True,True,False
30,700,1200,60,2.038735983690112,151.25700000000003,3.038735983690112,9.820988959454228,False,True,True,False
30,700,1200,80,1.529051987767584,151.25855,2.529051987767584,9.820988959454228,False,True,True,False
30,700,1500,40,3.8226299694189603,150.18835000000004,4.82262996941896,9.820988959454228,False,True,True,False
30,700,1500,60,2.54841997961264,151.61584,3.54841997961264,9.820988959454228,False,True,True,False
30,700,1500,80,1.9113149847094801,151.12057000000001,2.91131498470948,9.820988959454228,False,True,True,False
